fremdsprache,deutsch,deklination,lektion,richtig,falsch
tamen,trotzdem,,6.1,31,4
quod,weil,,6.1,27,6
ordo,die Reihe die Ordnung ordinis m,ordinis m,6.1,17,15
servare,retten bewahren,,6.1,29,0
signum,das Zeichen das Feldzeichen die Statue i n,i n,6.1,16,14
litus,die Küste der Strand litoris n,litoris n,6.1,27,5
suus,sein ihr a um,a um,6.1,17,15
vero,aber,,6.1,20,9
singulus,einzeln a um,a um,6.1,23,2
conspicere,erblicken spicio spexi spectum,spici spexi spectum,6.1,18,6
pauci,wenige ae a,ae a,6.1,16,8
circum,um etw herum,abl,6.1,22,3
iactare,werfen,,6.1,22,3
complere,anfüllen erfüllen pleo plevi pletum,pleo plevi pletum,6.1,18,8
simulac simulatque,sobald,,6.1,19,4
consistere,sich aufstellen stehen bleiben sisto stiti,sisto stiti,6.1,20,5
impetus,der Angriff der Schwung us m,us m,6.1,21,5
fuga,die Flucht ae f,ae f,6.1,20,4
eques,der Reiter equitis m,equitis m,6.1,7,3
cursus,der Kurs us m,us m,6.1,9,2
insula,die Insel ae f,ae f,6.1,9,1
que,und,,6.1,9,1
de-esse,fehlen nicht da sein im Stich lassen de-sum de-fui,de-sum de-fui,6.1,8,2
proelium,die Schlacht i n,i n,6.1,0,9
vincere,besiegen vinco vici victum,vinco vici victum,6.1,2,3
se re-cipere,sich zurück-ziehen re-cipio -cepi -ceptum,re-cipio -cepi -ceptum,6.1,0,5
statim,auf der Stelle sofort,,6.1,0,4
legatus,der Gesandte der Offizier,i m,6.1,0,4
pax,der Frieden pacis f,pacis f,6.1,0,1
Romanus,der Römer i m,i m,5.1,0,2
venire,kommen venio veni ventum,venio veni ventum,5.1,2,0
de,von etw herab von etw weg,,5.1,0,0
debere,müssen schulden verdanken,,5.1,1,0
aut aut,entweder oder,,5.1,1,0
aqua,das Wasser ae f,ae f,5.1,1,0
studium,der Eifer das Interesse die Beschäftigung i n,i n,5.1,1,1
posse,können possum potui,possum potui,5.1,0,1
videre,sehen video vidi visum,video vidi visum,5.1,3,1
movere,bewegen beeindrucken moveo movi motum,moveo movi motum,5.1,0,0
esse,sein sum fui,sum fui,5.1,0,1
cum,wenn als nachdem weil obwohl,,5.1,0,0
petere,anpeilen aufsuchen sich begeben verlangen erbitten angreifen,,5.1,0,3
facere,tun machen facio feci factum,facio feci factum,5.1,1,0
dicere,sagen sprechen dico dixi dictum,dico dixi dictum,5.1,0,3
barbarus,ausländisch unzivilisiert die Babaren a um,a um,5.1,0,1
consilium,die Versammlung der Rat die Beratung der Plan der Beschluss der Rat i n,i n,5.1,0,2
cognoscere,kennenlernen erkennen cognosco cognovi cognitum,cognosco cognovi cognitum,5.1,0,0
prae,vor,,5.1,3,0
mittere,schicken mitto misi missum,mitto misi missum,5.1,1,1
reliquus,übrig a um,a um,5.1,0,0
copia,die Menge der Vorrat die Möglichkeit die Truppen ae f,ae f,5.1,0,0
noster,unser unsrige tra trum,tra trum,5.1,0,0
e ex,aus etw heraus von etw her,,5.1,0,0
navis,das Schiff navis f,navis f,5.1,0,0
miles,der Soldat militis m,militis m,5.1,0,0
gravis,schwer gewichtig ernst is e,is e,5.1,0,0
arma,die Waffen armorum n PL,armorum n PL,5.1,0,0
fluctus,die Welle us m,us m,5.1,0,0
hostis,der Feind hostis m,hostis m,5.1,0,0
pugnare,kämpfen,,5.1,0,0
telum,der Wurfspieß i n,i n,5.1,0,0
equus,das Pferd i m,i m,5.1,0,0
incitare,erregen antreiben,,5.1,0,0
terrere,erschrecken,,5.1,0,0
latus,die Seite die Flanke lateris n,lateris n,5.1,0,0
aperire,öffnen aufdecken aperio aperui apertum,aperio aperui apertum,5.1,0,0
iubere,befehlen iubeo iussi iussum,iubeo iussi iussum,5.1,0,0
atque/ac,und,,5.1,0,0
usus,der Gebrauch der Nutzen die Erfahrung us m,us m,5.1,0,0
dubitare,zögern bezweifeln,,5.1,0,0
mare,das Meer maris n,maris n,5.1,0,0
ferre,tragen ertragen berichten fero tuli latum,fero tuli latum,5.1,0,0
